Date, Prices, Generation forecast, System load forecast,
2011/1/14 3:00,10.36,61551,56600,53.348
2011/1/14 4:00,10.51,62032,54600,53.006
2011/1/14 5:00,22.9,63476,55200,52.502
2011/1/14 6:00,43.09,66287,59000,52.214
2011/1/14 7:00,62.21,71646,66300,52.322
2011/1/14 8:00,65.01,73873,72900,52.214
2011/1/14 9:00,64.48,73011,72100,51.926
2011/1/14 10:00,61.26,72439,71900,51.764
2011/1/14 11:00,61.42,72311,71700,51.134
2011/1/14 12:00,57,71938,71400,52.862
2011/1/14 13:00,54.28,71446,71300,52.898
2011/1/14 14:00,50.7,70116,68600,53.132
2011/1/14 15:00,48.1,69359,66300,53.366
2011/1/14 16:00,50.13,69365,65200,52.268
2011/1/14 17:00,58.44,71559,65700,50.054
2011/1/14 18:00,61.28,73792,70800,49.334
2011/1/14 19:00,58.35,73735,73100,48.722
2011/1/14 20:00,51.41,70543,69800,47.894
2011/1/14 21:00,49.36,66936,66100,47.57
2011/1/14 22:00,51.4,65695,63100,47.858
2011/1/14 23:00,44.08,64921,66100,48.038
2011/1/15 0:00,36.54,63724,63800,48.038
2011/1/15 1:00,30.3,62233,59200,47.642
2011/1/15 2:00,21.78,62034,59400,48.02
2011/1/15 3:00,15.19,61050,55700,47.57
2011/1/15 4:00,14.64,60333,53600,47.354
2011/1/15 5:00,15.29,61233,52800,47.498
2011/1/15 6:00,17.11,61325,53900,47.66
2011/1/15 7:00,40.6,62433,56400,47.948
2011/1/15 8:00,49.04,64200,60400,48.092
2011/1/15 9:00,53.12,66213,62000,47.948
2011/1/15 10:00,53.2,66890,63800,48.038
2011/1/15 11:00,52.99,65982,64300,48.29
2011/1/15 12:00,53.9,65643,64900,49.01
2011/1/15 13:00,47.79,64980,66400,49.262
2011/1/15 14:00,45,63067,62600,49.892
2011/1/15 15:00,43.28,62029,59800,50.252
2011/1/15 16:00,42.42,61838,58400,49.496
2011/1/15 17:00,65.04,63862,58600,49.082
2011/1/15 18:00,63.21,68361,64100,48.956
2011/1/15 19:00,56.19,68079,66400,48.848
2011/1/15 20:00,44.96,65862,65100,48.146
2011/1/15 21:00,37.43,63868,62100,47.804
2011/1/15 22:00,43.78,62986,59800,47.768
2011/1/15 23:00,36.79,62837,63800,47.192
2011/1/16 0:00,21.32,61281,61500,47.354
2011/1/16 1:00,18.54,60390,57700,47.102
2011/1/16 2:00,14.99,58835,57400,46.418
2011/1/16 3:00,10.06,57669,53800,46.292
2011/1/16 4:00,10.2,56059,51300,45.986
2011/1/16 5:00,11.58,56169,50500,45.968
2011/1/16 6:00,10.17,56397,50600,45.986
2011/1/16 7:00,10.2,58046,51500,46.292
2011/1/16 8:00,16.6,60081,53300,47.156
2011/1/16 9:00,27.9,61348,54600,48.722
2011/1/16 10:00,39.94,63490,57000,50.126
2011/1/16 11:00,45.12,63913,58400,51.368
2011/1/16 12:00,45.11,63909,59600,52.034
2011/1/16 13:00,35.13,63563,61400,53.672
2011/1/16 14:00,25.45,61896,56400,54.788
2011/1/16 15:00,23.93,61752,54000,54.212
2011/1/16 16:00,31.98,61683,52400,52.538
2011/1/16 17:00,39.51,63425,53900,50.414
2011/1/16 18:00,64.15,68474,59800,48.38
2011/1/16 19:00,65,68475,64200,47.156
2011/1/16 20:00,55.15,66395,64900,46.13
2011/1/16 21:00,49.32,64097,62100,46.166
2011/1/16 22:00,51.31,63693,59900,46.4
2011/1/16 23:00,46.14,63185,63000,46.49
2011/1/17 0:00,22.73,61984,60700,45.914
2011/1/17 1:00,16.75,61334,56900,45.644
2011/1/17 2:00,17.1,61624,57400,45.446
2011/1/17 3:00,12.72,61236,54800,45.194
2011/1/17 4:00,14.87,61426,52900,44.762
2011/1/17 5:00,23.53,61775,53800,44.474
2011/1/17 6:00,45.48,64756,57900,44.654
2011/1/17 7:00,62.43,69467,65600,44.474
2011/1/17 8:00,65.91,71584,71500,44.366
2011/1/17 9:00,61.19,71478,71800,44.33
2011/1/17 10:00,58.62,72047,71500,44.492
2011/1/17 11:00,59.9,72230,71400,45.734
2011/1/17 12:00,60.14,71938,71900,47.786
2011/1/17 13:00,58.4,71513,72400,49.064
2011/1/17 14:00,52.54,70375,69800,49.658
2011/1/17 15:00,52.93,69048,68000,48.992
2011/1/17 16:00,58.52,69584,66800,48.596
2011/1/17 17:00,67.26,72282,67600,48.344
2011/1/17 18:00,68.36,73486,73200,47.804
2011/1/17 19:00,65.97,73338,76900,48.092
2011/1/17 20:00,60.2,70342,73800,48.434
2011/1/17 21:00,51.24,68138,69200,48.452
2011/1/17 22:00,50.89,66962,65800,48.434
2011/1/17 23:00,48.92,66049,68800,48.29
2011/1/18 0:00,37.65,65333,65900,47.732
2011/1/18 1:00,37.28,64260,61900,47.678
2011/1/18 2:00,34.94,64005,62100,47.354
2011/1/18 3:00,25.3,63214,59500,47.12
2011/1/18 4:00,28.8,62776,57300,47.03
2011/1/18 5:00,40.49,63315,57700,47.102
2011/1/18 6:00,45.24,64479,61800,47.084
2011/1/18 7:00,59.6,68836,69100,47.066
2011/1/18 8:00,63.27,71905,74900,46.598
2011/1/18 9:00,61.63,72146,75100,46.724
2011/1/18 10:00,63.32,72539,75100,47.156
2011/1/18 11:00,63.58,73008,74800,47.03
2011/1/18 12:00,62.89,72506,75500,46.418
2011/1/18 13:00,62.36,72654,76000,45.572
2011/1/18 14:00,59.37,71545,73800,42.89
2011/1/18 15:00,55.97,70954,71900,41.756
2011/1/18 16:00,59.07,71085,71000,41.54
2011/1/18 17:00,67.9,73559,71400,41.468
2011/1/18 18:00,69.08,75632,75900,41.558
2011/1/18 19:00,66.98,76146,79000,41.216
2011/1/18 20:00,60.1,72181,76100,40.982
2011/1/18 21:00,50.01,69839,71600,40.532
2011/1/18 22:00,49.74,68559,68000,40.748
2011/1/18 23:00,45.89,68268,70600,40.262
2011/1/19 0:00,47.14,67917,68000,39.812
2011/1/19 1:00,45.44,67464,63800,39.56
2011/1/19 2:00,43.01,67564,64100,39.452
2011/1/19 3:00,38.89,65930,61600,38.876
2011/1/19 4:00,40.1,66587,59300,38.696
2011/1/19 5:00,46.28,67196,60000,38.372
2011/1/19 6:00,49.51,68629,64000,37.976
2011/1/19 7:00,65.06,73816,70800,37.724
2011/1/19 8:00,66.5,76208,76200,37.706
2011/1/19 9:00,66.09,76666,77600,37.814
2011/1/19 10:00,65.91,76136,78200,38.336
2011/1/19 11:00,66,76051,78500,39.254
2011/1/19 12:00,65.5,75203,79400,40.046
2011/1/19 13:00,65,74310,80100,40.586
2011/1/19 14:00,62.94,73588,78200,40.46
2011/1/19 15:00,61.08,72304,76100,40.946
2011/1/19 16:00,61.19,72463,74800,40.928
2011/1/19 17:00,66.88,75000,75300,40.334
2011/1/19 18:00,69.22,77871,79700,39.578
2011/1/19 19:00,66.46,77785,83300,39.056
2011/1/19 20:00,61.19,74637,80200,39.344
2011/1/19 21:00,51.11,71474,75600,39.11
2011/1/19 22:00,52,71199,71500,38.426
2011/1/19 23:00,48.85,70487,74600,37.454
2011/1/20 0:00,43.09,69463,72100,36.752
2011/1/20 1:00,42.63,68381,67700,36.914
2011/1/20 2:00,42.6,68389,67800,37.346
2011/1/20 3:00,40.06,67488,65800,37.112
2011/1/20 4:00,39.96,66900,63500,37.292
2011/1/20 5:00,41.77,68012,64000,36.95
2011/1/20 6:00,48,69870,67900,37.328
2011/1/20 7:00,63.3,74970,75300,37.526
2011/1/20 8:00,66.09,76968,80600,37.112
2011/1/20 9:00,66.08,76682,80100,37.004
2011/1/20 10:00,65.83,76232,80100,36.968
2011/1/20 11:00,65.63,76601,80200,37.652
2011/1/20 12:00,64.93,75242,80900,39.614
2011/1/20 13:00,63.84,74937,80300,40.946
2011/1/20 14:00,61.74,74650,78900,41.198
2011/1/20 15:00,60.31,74480,76700,40.766
2011/1/20 16:00,61.8,75264,75500,39.452
2011/1/20 17:00,66.61,77122,75500,38.57
2011/1/20 18:00,69.73,79795,81300,37.922
2011/1/20 19:00,66.83,78433,84800,36.95
2011/1/20 20:00,63.71,75238,82800,36.014
2011/1/20 21:00,53.02,72141,77700,35.708
2011/1/20 22:00,52.6,71477,73600,35.096
2011/1/20 23:00,48.46,71764,77000,33.638
2011/1/21 0:00,46.04,69736,74100,33.044
2011/1/21 1:00,45.3,68971,70100,32.648
2011/1/21 2:00,44.88,68891,70700,31.37
2011/1/21 3:00,42.65,68734,68300,30.542
2011/1/21 4:00,42.09,67578,66400,29.894
2011/1/21 5:00,45.7,68273,67100,29.282
2011/1/21 6:00,50.83,71124,71100,29.282
2011/1/21 7:00,64.03,76918,78500,29.174
2011/1/21 8:00,66.61,78535,84400,29.12
2011/1/21 9:00,66.23,78357,83700,29.3
2011/1/21 10:00,66,78144,83700,29.804
2011/1/21 11:00,65.21,78531,83500,30.776
2011/1/21 12:00,64.52,77379,83200,31.208
2011/1/21 13:00,62.98,77182,83100,32.234
2011/1/21 14:00,60.17,75686,80700,33.53
2011/1/21 15:00,56.19,74113,78400,34.25
2011/1/21 16:00,62.07,75523,77000,33.44
2011/1/21 17:00,66.13,77944,77300,32.918
2011/1/21 18:00,67.85,80080,82500,34.268
2011/1/21 19:00,66.27,79526,85600,34.79
2011/1/21 20:00,60.81,76137,82600,35.24
2011/1/21 21:00,54.99,73571,78800,36.14
2011/1/21 22:00,56.96,73501,75500,37.184
2011/1/21 23:00,54.33,73773,78800,37.814
2011/1/22 0:00,50.07,71991,76600,37.94
2011/1/22 1:00,48.18,69799,71800,38.102
2011/1/22 2:00,46.85,70041,72400,38.264
2011/1/22 3:00,45.03,68877,69400,38.138
2011/1/22 4:00,44.46,66803,67300,37.706
2011/1/22 5:00,46.69,67190,66500,38.462
2011/1/22 6:00,44.93,67073,67800,38.462
2011/1/22 7:00,46.68,67816,71100,38.138
2011/1/22 8:00,51.39,69706,74700,38.084
2011/1/22 9:00,58,72509,76400,38.192
2011/1/22 10:00,60.38,73784,78400,39.164
2011/1/22 11:00,61.04,73721,78300,40.55
2011/1/22 12:00,61.1,74042,78500,41.216
2011/1/22 13:00,59.12,73030,79500,41.936
2011/1/22 14:00,53,71008,75500,42.242
2011/1/22 15:00,50.55,70293,72500,42.476
2011/1/22 16:00,50.12,70554,71000,42.278
2011/1/22 17:00,63.1,73298,70800,41.504
2011/1/22 18:00,64.8,74721,76500,41.252
2011/1/22 19:00,62.62,75290,79800,40.982
2011/1/22 20:00,59.17,73201,77800,40.64
2011/1/22 21:00,53.13,70113,74900,40.316
2011/1/22 22:00,58.79,71141,72700,40.082
2011/1/22 23:00,52.98,70693,76700,39.848
2011/1/23 0:00,51.09,69277,75100,39.812
2011/1/23 1:00,53.02,67655,71100,39.596
2011/1/23 2:00,47.69,66874,71200,38.984
2011/1/23 3:00,42.91,65657,68000,38.498
2011/1/23 4:00,39.96,65336,65300,37.706
2011/1/23 5:00,35.4,65500,64400,36.968
2011/1/23 6:00,31.08,65104,64700,35.942
2011/1/23 7:00,42.61,64206,66400,36.374
2011/1/23 8:00,45.76,65346,68400,36.032
2011/1/23 9:00,48.96,67823,70000,36.266
2011/1/23 10:00,51.29,69277,72900,36.806
2011/1/23 11:00,53.19,70154,74400,38.21
2011/1/23 12:00,54.43,71017,75100,40.874
2011/1/23 13:00,49.85,69270,76600,41.828
2011/1/23 14:00,45.3,67647,71400,42.26
2011/1/23 15:00,42.98,67901,68600,42.926
2011/1/23 16:00,43.93,67738,66900,42.872
2011/1/23 17:00,55.67,69431,68200,42.44
2011/1/23 18:00,63.72,73291,73900,42.314
2011/1/23 19:00,63.41,74355,78500,42.026
2011/1/23 20:00,60.08,72675,77400,41.792
2011/1/23 21:00,53.26,70217,75100,41.54
2011/1/23 22:00,53.98,69456,72800,41.54
2011/1/23 23:00,51.39,68023,75900,40.982
2011/1/24 0:00,48.15,67809,74800,40.64
2011/1/24 1:00,47.47,66285,69600,40.046
2011/1/24 2:00,45.82,66384,70600,39.542
2011/1/24 3:00,43.54,65657,67900,39.56
2011/1/24 4:00,42.39,65669,65600,39.812
2011/1/24 5:00,44.91,66362,66500,39.83
2011/1/24 6:00,57.17,70404,70600,40.28
2011/1/24 7:00,68.29,74233,78100,40.676
2011/1/24 8:00,67,76309,83900,41.252
2011/1/24 9:00,66.37,76322,84300,41.414
2011/1/24 10:00,66.74,75826,84300,41.702
2011/1/24 11:00,65.99,75887,83800,41.828
2011/1/24 12:00,66.16,75122,83800,42.368
2011/1/24 13:00,64.77,74827,83900,42.296
2011/1/24 14:00,63.89,74199,81100,42.71
2011/1/24 15:00,63.05,73398,78900,42.908
2011/1/24 16:00,63.11,73784,77500,42.296
2011/1/24 17:00,66.42,74243,78100,41.9
2011/1/24 18:00,74.99,78970,83900,41.414
2011/1/24 19:00,69.19,78764,88100,41.09
2011/1/24 20:00,64.98,76477,83700,40.586
2011/1/24 21:00,54.54,72343,79500,39.974
2011/1/24 22:00,59.43,71355,76500,39.38
2011/1/24 23:00,57.27,70729,79500,38.804
2011/1/25 0:00,49.7,68941,77100,38.444
2011/1/25 1:00,49.29,68533,71900,38.264
2011/1/25 2:00,47.52,68485,72800,37.76
2011/1/25 3:00,42.02,66796,70100,37.454
2011/1/25 4:00,40.82,66033,67700,37.616
2011/1/25 5:00,45.33,67365,68100,37.58
2011/1/25 6:00,50.84,69996,72200,37.49
2011/1/25 7:00,65.73,73868,79200,37.4
2011/1/25 8:00,64.93,74959,85000,37.13
2011/1/25 9:00,66.51,75149,85100,37.616
2011/1/25 10:00,66.18,75460,85100,38.156
2011/1/25 11:00,66.26,75184,84500,39.2
2011/1/25 12:00,64.01,73709,84500,40.55
2011/1/25 13:00,64,73488,84200,41.594
2011/1/25 14:00,60.58,72843,81700,41.954
2011/1/25 15:00,58.7,71595,79400,42.17
2011/1/25 16:00,61.18,72739,78300,42.908
2011/1/25 17:00,65.16,73567,78600,41.234
2011/1/25 18:00,73,78010,83300,39.92
2011/1/25 19:00,69.64,77160,87200,40.1
2011/1/25 20:00,61.05,74615,83200,40.316
2011/1/25 21:00,53.4,71093,79200,40.19
2011/1/25 22:00,53.05,70254,75800,40.136
2011/1/25 23:00,50.54,69869,78800,40.01
2011/1/26 0:00,47.07,68153,75900,39.344
2011/1/26 1:00,49.09,67484,70900,39.29
2011/1/26 2:00,46.24,67276,72500,39.2
2011/1/26 3:00,44.14,65972,69500,39.074
2011/1/26 4:00,44.75,66014,67100,38.84
2011/1/26 5:00,46.98,67062,67600,38.984
2011/1/26 6:00,52.86,70344,71400,38.66
2011/1/26 7:00,67.32,73746,77900,38.3
2011/1/26 8:00,68.38,76613,83300,37.76
2011/1/26 9:00,67.78,77058,84500,37.454
2011/1/26 10:00,67.46,77463,84600,37.184
2011/1/26 11:00,67.54,77951,84200,37.544
2011/1/26 12:00,66.25,77376,84200,38.12
2011/1/26 13:00,65.41,76429,84000,39.488
2011/1/26 14:00,64.37,76239,81700,40.604
2011/1/26 15:00,63.41,74471,79300,40.82
2011/1/26 16:00,63.83,74084,78400,39.704
2011/1/26 17:00,67.17,75142,78600,38.354
2011/1/26 18:00,72.91,78071,83200,37.58
2011/1/26 19:00,67.66,77918,87500,36.95
2011/1/26 20:00,61.31,76273,83300,36.986
2011/1/26 21:00,52.47,72430,79000,36.554
2011/1/26 22:00,55.3,70928,75600,36.014
2011/1/26 23:00,51.08,70186,78700,35.114
2011/1/27 0:00,46.98,69372,77100,34.106
2011/1/27 1:00,46.75,67537,72300,32.522
2011/1/27 2:00,45.91,67412,73200,31.73
2011/1/27 3:00,43.84,67154,70700,31.136
2011/1/27 4:00,43.11,67264,68300,31.37
2011/1/27 5:00,45.1,67458,68700,32.09
2011/1/27 6:00,50.78,69745,72300,32
2011/1/27 7:00,65.53,75685,79700,31.73
2011/1/27 8:00,66.48,77123,84900,31.766
2011/1/27 9:00,66.3,77163,84300,32.378
2011/1/27 10:00,65.99,77295,84100,33.17
2011/1/27 11:00,66.34,77109,83800,33.872
2011/1/27 12:00,65.23,76913,83700,34.538
2011/1/27 13:00,64.41,76682,82900,35.42
2011/1/27 14:00,63.65,76138,80900,35.726
2011/1/27 15:00,62.24,75452,78600,35.06
2011/1/27 16:00,63.92,76008,77300,34.358
2011/1/27 17:00,66.64,76881,77600,33.296
2011/1/27 18:00,71.33,79474,82900,32.198
2011/1/27 19:00,67.94,79199,87200,30.956
2011/1/27 20:00,62.71,76277,84000,29.804
2011/1/27 21:00,53.98,72308,79700,28.814
2011/1/27 22:00,54.36,71827,76000,28.256
2011/1/27 23:00,48.84,70394,79400,27.842
2011/1/28 0:00,47.66,69177,76800,27.5
2011/1/28 1:00,46.75,67707,72600,27.284
2011/1/28 2:00,44.38,67460,74200,26.906
2011/1/28 3:00,43.52,67603,71400,26.6
2011/1/28 4:00,44.19,67569,69200,26.366
2011/1/28 5:00,47.99,68290,69700,26.042
2011/1/28 6:00,55.64,71169,73400,25.862
2011/1/28 7:00,65.44,75314,80700,25.664
2011/1/28 8:00,66.77,76239,86100,25.448
2011/1/28 9:00,66.25,77118,85700,25.952
2011/1/28 10:00,65.94,76965,85700,27.464
2011/1/28 11:00,65.28,76341,85300,29.732
2011/1/28 12:00,64.17,75588,84700,31.622
2011/1/28 13:00,63.13,75016,84300,33.71
2011/1/28 14:00,61.03,74441,81600,33.764
2011/1/28 15:00,55.44,73850,79300,33.602
2011/1/28 16:00,58.2,73410,77600,32.324
2011/1/28 17:00,64.83,75184,78100,31.37
2011/1/28 18:00,68.54,78667,82900,30.668
2011/1/28 19:00,65.71,77655,87000,29.984
2011/1/28 20:00,59.77,75695,83700,29.138
2011/1/28 21:00,54.79,72817,80000,28.544
2011/1/28 22:00,55.67,71751,76800,27.752
2011/1/28 23:00,52.71,71722,80400,27.248
2011/1/29 0:00,52.17,70244,78600,26.942
2011/1/29 1:00,51.07,68756,72800,26.456
2011/1/29 2:00,47.77,68185,74500,25.988
2011/1/29 3:00,45.96,67428,71000,25.718
2011/1/29 4:00,44.97,67302,68700,25.268
2011/1/29 5:00,44.18,66923,67500,24.656
2011/1/29 6:00,45.16,67315,68700,24.224
2011/1/29 7:00,47.46,68030,71300,23.972
2011/1/29 8:00,51.27,69737,74300,24.008
2011/1/29 9:00,55.39,73078,76400,24.62
2011/1/29 10:00,59.32,74550,78200,26.042
2011/1/29 11:00,60.45,75129,78100,28.364
2011/1/29 12:00,58.14,75220,78200,31.244
2011/1/29 13:00,53.25,73819,79000,33.566
2011/1/29 14:00,49.71,71934,74900,35.276
2011/1/29 15:00,47.84,71215,72100,36.014
2011/1/29 16:00,47.94,71454,70200,34.844
2011/1/29 17:00,59.7,73169,70300,32.342
2011/1/29 18:00,64.05,76484,75200,30.632
2011/1/29 19:00,62.03,75815,79600,29.462
2011/1/29 20:00,55.29,73610,77700,28.796
2011/1/29 21:00,48.04,70640,74700,27.698
2011/1/29 22:00,49.93,71074,72600,27.842
2011/1/29 23:00,50.03,70805,77100,27.374
2011/1/30 0:00,47.54,70158,75900,26.51
2011/1/30 1:00,51.14,68834,71700,25.754
2011/1/30 2:00,49.31,68027,72600,25.34
2011/1/30 3:00,45.1,66154,69200,25.214
2011/1/30 4:00,44.19,65417,66700,24.728
2011/1/30 5:00,43.03,65399,65500,24.638
2011/1/30 6:00,37.74,65019,65800,23.882
2011/1/30 7:00,42.43,65698,67100,23.126
2011/1/30 8:00,44.52,67334,68500,22.478
2011/1/30 9:00,47.69,68172,70500,22.46
2011/1/30 10:00,54.12,71017,73300,23.144
2011/1/30 11:00,57.93,73184,74800,24.44
2011/1/30 12:00,56.73,73197,75600,25.574
2011/1/30 13:00,48.34,71057,77000,27.014
2011/1/30 14:00,44.65,68994,71600,28.85
2011/1/30 15:00,43.02,68712,68500,30.092
2011/1/30 16:00,42.7,69388,66800,29.894
2011/1/30 17:00,52.43,71048,67800,29.354
2011/1/30 18:00,63.35,75327,72900,28.976
2011/1/30 19:00,63.3,76973,78600,28.49
2011/1/30 20:00,61.6,76096,78800,28.454
2011/1/30 21:00,53.2,73531,75800,28.256
2011/1/30 22:00,57.92,72585,73400,28.076
2011/1/30 23:00,53.02,71635,76900,27.806
2011/1/31 0:00,48.43,69065,74600,27.932
2011/1/31 1:00,48.93,68582,71400,27.806
2011/1/31 2:00,49.69,68633,72900,27.554
2011/1/31 3:00,45.9,67451,70300,27.068
2011/1/31 4:00,44.99,66806,68200,26.582
2011/1/31 5:00,46,68234,69000,26.132
2011/1/31 6:00,58.5,71882,73000,26.042
2011/1/31 7:00,69.04,75822,79300,25.988
2011/1/31 8:00,69.27,77589,84200,26.258
2011/1/31 9:00,67.51,78915,84500,25.862
2011/1/31 10:00,65.1,79358,84600,26.15
2011/1/31 11:00,64.47,78701,84200,26.456
2011/1/31 12:00,63.34,77935,84300,27.176
2011/1/31 13:00,62.92,78334,84300,28.238
2011/1/31 14:00,62.11,77666,81300,28.922
2011/1/31 15:00,61.68,76073,78900,29.624
2011/1/31 16:00,61.07,75715,77200,28.238
2011/1/31 17:00,67.14,78720,77500,27.158
2011/1/31 18:00,113.86,80819,82000,26.924
2011/1/31 19:00,82.35,81059,87100,26.402
2011/1/31 20:00,66.4,78502,83900,25.916
2011/1/31 21:00,61.11,75746,79300,25.646
2011/1/31 22:00,61.28,74593,75700,25.07
2011/1/31 23:00,53.03,74061,79200,24.71
2011/2/1 0:00,52.23,72686,77200,24.44
2011/2/1 1:00,52.67,71378,74000,24.278
2011/2/1 2:00,51.55,71068,76700,24.242
2011/2/1 3:00,46.13,69610,74200,24.386
2011/2/1 4:00,45.48,69434,71900,24.35
2011/2/1 5:00,48.19,70865,72200,23.972
2011/2/1 6:00,57.8,72857,76100,23.702
2011/2/1 7:00,71.27,77188,82300,23.576
